orig,dest,year,age,flow
Islands,South,1970,8,455
North-West,Islands,1970,8,1322
North-East,Islands,1970,8,266
Center,Islands,1970,8,503
South,Islands,1970,8,389
Islands,Islands,1970,8,0
North-West,North-West,1970,9,0
North-East,North-West,1970,9,1468
Center,North-West,1970,9,1077
South,North-West,1970,9,4353
Islands,North-West,1970,9,2211
North-West,North-East,1970,9,1683
North-East,North-East,1970,9,0
Center,North-East,1970,9,732
South,North-East,1970,9,811
Islands,North-East,1970,9,348
North-West,Center,1970,9,1257
North-East,Center,1970,9,794
Center,Center,1970,9,0
South,Center,1970,9,2042
Islands,Center,1970,9,763
North-West,South,1970,9,1477
North-East,South,1970,9,380
Center,South,1970,9,1070
South,South,1970,9,0
Islands,South,1970,9,312
North-West,Islands,1970,9,887
North-East,Islands,1970,9,189
Center,Islands,1970,9,388
South,Islands,1970,9,273
Islands,Islands,1970,9,0
North-West,North-West,1970,10,0
North-East,North-West,1970,10,1163
Center,North-West,1970,10,840
South,North-West,1970,10,3426
Islands,North-West,1970,10,1731
North-West,North-East,1970,10,1346
North-East,North-East,1970,10,0
Center,North-East,1970,10,622
South,North-East,1970,10,598
Islands,North-East,1970,10,253
North-West,Center,1970,10,942
North-East,Center,1970,10,604
Center,Center,1970,10,0
South,Center,1970,10,1608
Islands,Center,1970,10,578
North-West,South,1970,10,1071
North-East,South,1970,10,281
Center,South,1970,10,876
South,South,1970,10,0
Islands,South,1970,10,221
North-West,Islands,1970,10,691
North-East,Islands,1970,10,152
Center,Islands,1970,10,301
South,Islands,1970,10,239
Islands,Islands,1970,10,0
North-West,North-West,1970,11,0
North-East,North-West,1970,11,703
Center,North-West,1970,11,529
South,North-West,1970,11,1975
Islands,North-West,1970,11,1048
North-West,North-East,1970,11,861
North-East,North-East,1970,11,0
Center,North-East,1970,11,436
South,North-East,1970,11,372
Islands,North-East,1970,11,158
North-West,Center,1970,11,615
North-East,Center,1970,11,404
Center,Center,1970,11,0
South,Center,1970,11,1013
Islands,Center,1970,11,376
North-West,South,1970,11,645
North-East,South,1970,11,197
Center,South,1970,11,558
South,South,1970,11,0
Islands,South,1970,11,134
North-West,Islands,1970,11,449
North-East,Islands,1970,11,93
Center,Islands,1970,11,214
South,Islands,1970,11,154
Islands,Islands,1970,11,0
North-West,North-West,1970,12,0
North-East,North-West,1970,12,793
Center,North-West,1970,12,558
South,North-West,1970,12,1631
Islands,North-West,1970,12,944
North-West,North-East,1970,12,1166
North-East,North-East,1970,12,0
Center,North-East,1970,12,474
South,North-East,1970,12,283
Islands,North-East,1970,12,146
North-West,Center,1970,12,679
North-East,Center,1970,12,400
Center,Center,1970,12,0
South,Center,1970,12,889
Islands,Center,1970,12,343
North-West,South,1970,12,755
North-East,South,1970,12,175
Center,South,1970,12,568
South,South,1970,12,0
Islands,South,1970,12,154
North-West,Islands,1970,12,451
North-East,Islands,1970,12,93
Center,Islands,1970,12,220
South,Islands,1970,12,135
Islands,Islands,1970,12,0
North-West,North-West,1970,13,0
North-East,North-West,1970,13,718
Center,North-West,1970,13,499
South,North-West,1970,13,1217
Islands,North-West,1970,13,704
North-West,North-East,1970,13,1257
North-East,North-East,1970,13,0
Center,North-East,1970,13,419
South,North-East,1970,13,265
Islands,North-East,1970,13,120
North-West,Center,1970,13,638
North-East,Center,1970,13,338
Center,Center,1970,13,0
South,Center,1970,13,762
Islands,Center,1970,13,285
North-West,South,1970,13,730
North-East,South,1970,13,156
Center,South,1970,13,525
South,South,1970,13,0
Islands,South,1970,13,108
North-West,Islands,1970,13,418
North-East,Islands,1970,13,80
Center,Islands,1970,13,187
South,Islands,1970,13,104
Islands,Islands,1970,13,0
North-West,North-West,1970,14,0
North-East,North-West,1970,14,565
Center,North-West,1970,14,376
South,North-West,1970,14,809
Islands,North-West,1970,14,507
North-West,North-East,1970,14,832
North-East,North-East,1970,14,0
Center,North-East,1970,14,327
South,North-East,1970,14,202
Islands,North-East,1970,14,93
North-West,Center,1970,14,464
North-East,Center,1970,14,255
Center,Center,1970,14,0
South,Center,1970,14,632
Islands,Center,1970,14,236
North-West,South,1970,14,492
North-East,South,1970,14,112
Center,South,1970,14,450
South,South,1970,14,0
Islands,South,1970,14,88
North-West,Islands,1970,14,302
North-East,Islands,1970,14,69
Center,Islands,1970,14,154
South,Islands,1970,14,77
Islands,Islands,1970,14,0
North-West,North-West,1970,15,0
North-East,North-West,1970,15,446
Center,North-West,1970,15,292
South,North-West,1970,15,625
Islands,North-West,1970,15,359
North-West,North-East,1970,15,576
North-East,North-East,1970,15,0
Center,North-East,1970,15,253
